name,url,state,revenue,growth_%,industry,workers,founded,yrs_on_list,city
MacStadium,macstadium.com,Georgia,2400000.0,310,IT System Development,66,2012,4,Atlanta
Yapta,yapta.com,Washington,1300000.0,310,Travel & Hospitality,60,2007,2,Seattle
The Jenny Maraghy Team,jennymaraghyteam.com,Virginia,200000.0,309,Real Estate,25,2011,1,Richmond
Proforma Think Ink,proforma.com/russ,Florida,200000.0,309,Business Products & Services,6,1993,1,Apollo Beach
CircusTrix,circustrix.com,Utah,19400000.0,309,Advertising & Marketing,14730,2011,3,Provo
Washington Capital Partners,washingtoncapitalpartners.com,Virginia,1600000.0,309,Financial Services,28,2012,2,Falls Church
Waste Away Systems,wasteawaysystems.com,Ohio,500000.0,309,Logistics & Transportation,19,2012,2,Heath
Audley Travel,audleytravel.com/us,Massachusetts,10000000.0,308,Travel & Hospitality,216,2013,2,Boston
Your Home Sold Guaranteed Realty,yourhomesoldguaranteedinc.com,California,800000.0,308,Real Estate,12,2007,1,ROSEMEAD
A-Lign,http://a-lign.com,Florida,3200000.0,308,Business Products & Services,200,2009,3,Tampa
Taimen Transport,taimentransport.com,Tennessee,3600000.0,308,Logistics & Transportation,17,2012,1,Chattanooga
Calldrip,calldrip.com,Utah,400000.0,308,Software,50,2005,1,Farmington
Triton Commerce,tritoncommerce.com,Minnesota,300000.0,308,Advertising & Marketing,22,2012,2,Minneapolis
eAssist Dental Solutions,http://dentalbilling.com,Utah,1700000.0,308,Health,53,2012,4,Syracuse
Big Leap,bigleap.com,Utah,800000.0,307,Advertising & Marketing,63,2008,4,Lehi
Housing Trust Group,htgf.com,Florida,2400000.0,307,Real Estate,101,1997,2,Coconut Grove
Suite Experience Group,suiteexperiencegroup.com,California,1100000.0,307,Travel & Hospitality,4,2010,2,San Mateo
WheelHouse IT,wheelhouseit.com,Florida,900000.0,307,IT Management,61,2002,3,Fort Lauderdale
CAP Venture Group,lstproperties.com,Kentucky,400000.0,306,Real Estate,7,2013,1,Louisville
TokenEx,tokenex.com,Oklahoma,500000.0,306,Software,24,2010,2,EDMOND
ASB Resources,asbresources.com,New Jersey,1000000.0,306,IT Management,80,2004,4,Princeton
Old Dominion Mechanical,odmva.com,Virginia,400000.0,306,Construction,31,2013,2,Richmond
Managed Energy Systems,energymes.com,Kansas,200000.0,306,Energy,8,2013,1,Leawood
Trinity3 Technology,trinity3.com,Minnesota,7000000.0,305,Computer Hardware,86,2014,1,Saint Paul
Kureiji,threadtank.com,California,300000.0,305,Retail,16,2014,1,South El Monte
Wellex,samedaystdtesting.com,Missouri,300000.0,305,Health,8,2015,1,St. Louis
Connoils,connoils.com,Wisconsin,2100000.0,305,Food & Beverage,25,2007,1,Waukesha
Advantage Media Group,advantagefamily.com,South Carolina,2400000.0,305,Media,117,2005,7,Charleston
DMD Products,lovehandle.com,Texas,400000.0,305,Consumer Products & Services,32,2014,1,Rosharon
Triplemint,triplemint.com,New York,1000000.0,305,Real Estate,112,2011,2,New York
Matrix 4,matrix4.com,Illinois,1000000.0,305,Manufacturing,28,1976,3,Woodstock
Vantage Point Logistics,vantagepointlogistics.com,Ohio,2000000.0,305,Logistics & Transportation,46,2011,3,Columbus
Telco Connection,telcoconnection.com,California,400000.0,304,Telecommunications,2,2013,1,Coto de Caza
Binary Defense,binarydefense.com,Ohio,800000.0,303,Security,64,2014,1,Stow
Pinnacle Dermatology,pinnacleskin.com,Illinois,3600000.0,303,Health,330,2004,2,Lombard
